0
"(1726185600, 2558.19, 2586.02, 2556.57, 2578.99, 175616, 17, 0)"
"(1726444800, 2578.72, 2589.59, 2575.12, 2582.32, 139384, 17, 0)"
"(1726531200, 2582., 2586.91, 2560.71, 2569.41, 156282, 17, 0)"
"(1726617600, 2569.34, 2600.09, 2546.74, 2559.06, 189053, 17, 0)"
"(1726704000, 2558.58, 2594.85, 2551.03, 2586.72, 209958, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1725840000, 2496.72, 2507.2, 2485.5, 2506.34, 166250, 17, 0)"
"(1725926400, 2506.38, 2518.44, 2500.06, 2516.6, 151689, 17, 0)"
"(1726012800, 2516.36, 2528.98, 2500.87, 2511.36, 187207, 17, 0)"
"(1726099200, 2510.85, 2560.03, 2510.85, 2558.6, 176576, 17, 0)"
"(1726185600, 2558.19, 2586.02, 2556.57, 2578.99, 175616, 17, 0)"
"(1726444800, 2578.72, 2589.59, 2575.12, 2582.32, 139384, 17, 0)"
"(1726531200, 2582., 2586.91, 2560.71, 2569.41, 156282, 17, 0)"
"(1726617600, 2569.34, 2600.09, 2546.74, 2559.06, 189053, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1725840000, 2496.72, 2507.2, 2485.5, 2506.34, 166250, 17, 0)"
"(1725926400, 2506.38, 2518.44, 2500.06, 2516.6, 151689, 17, 0)"
"(1726012800, 2516.36, 2528.98, 2500.87, 2511.36, 187207, 17, 0)"
"(1726099200, 2510.85, 2560.03, 2510.85, 2558.6, 176576, 17, 0)"
"(1726185600, 2558.19, 2586.02, 2556.57, 2578.99, 175616, 17, 0)"
"(1726444800, 2578.72, 2589.59, 2575.12, 2582.32, 139384, 17, 0)"
"(1726531200, 2582., 2586.91, 2560.71, 2569.41, 156282, 17, 0)"
"(1725321600, 2499.57, 2506.2, 2473.13, 2493.01, 172834, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1725840000, 2496.72, 2507.2, 2485.5, 2506.34, 166250, 17, 0)"
"(1725926400, 2506.38, 2518.44, 2500.06, 2516.6, 151689, 17, 0)"
"(1726012800, 2516.36, 2528.98, 2500.87, 2511.36, 187207, 17, 0)"
"(1726099200, 2510.85, 2560.03, 2510.85, 2558.6, 176576, 17, 0)"
"(1726185600, 2558.19, 2586.02, 2556.57, 2578.99, 175616, 17, 0)"
"(1726444800, 2578.72, 2589.59, 2575.12, 2582.32, 139384, 17, 0)"
"(1725235200, 2502.42, 2507.23, 2489.96, 2498.99, 100895, 17, 0)"
"(1725321600, 2499.57, 2506.2, 2473.13, 2493.01, 172834, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1725840000, 2496.72, 2507.2, 2485.5, 2506.34, 166250, 17, 0)"
"(1725926400, 2506.38, 2518.44, 2500.06, 2516.6, 151689, 17, 0)"
"(1726012800, 2516.36, 2528.98, 2500.87, 2511.36, 187207, 17, 0)"
"(1726099200, 2510.85, 2560.03, 2510.85, 2558.6, 176576, 17, 0)"
"(1726185600, 2558.19, 2586.02, 2556.57, 2578.99, 175616, 17, 0)"
"(1724976000, 2520.61, 2526.87, 2494.1, 2503.21, 165664, 17, 0)"
"(1725235200, 2502.42, 2507.23, 2489.96, 2498.99, 100895, 17, 0)"
"(1725321600, 2499.57, 2506.2, 2473.13, 2493.01, 172834, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1725840000, 2496.72, 2507.2, 2485.5, 2506.34, 166250, 17, 0)"
"(1725926400, 2506.38, 2518.44, 2500.06, 2516.6, 151689, 17, 0)"
"(1726012800, 2516.36, 2528.98, 2500.87, 2511.36, 187207, 17, 0)"
"(1726099200, 2510.85, 2560.03, 2510.85, 2558.6, 176576, 17, 0)"
"(1724889600, 2504.25, 2528.63, 2503.54, 2521.1, 159746, 17, 0)"
"(1724976000, 2520.61, 2526.87, 2494.1, 2503.21, 165664, 17, 0)"
"(1725235200, 2502.42, 2507.23, 2489.96, 2498.99, 100895, 17, 0)"
"(1725321600, 2499.57, 2506.2, 2473.13, 2493.01, 172834, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1725840000, 2496.72, 2507.2, 2485.5, 2506.34, 166250, 17, 0)"
"(1725926400, 2506.38, 2518.44, 2500.06, 2516.6, 151689, 17, 0)"
"(1726012800, 2516.36, 2528.98, 2500.87, 2511.36, 187207, 17, 0)"
"(1724803200, 2524.75, 2529., 2493.59, 2504.54, 162696, 17, 0)"
"(1724889600, 2504.25, 2528.63, 2503.54, 2521.1, 159746, 17, 0)"
"(1724976000, 2520.61, 2526.87, 2494.1, 2503.21, 165664, 17, 0)"
"(1725235200, 2502.42, 2507.23, 2489.96, 2498.99, 100895, 17, 0)"
"(1725321600, 2499.57, 2506.2, 2473.13, 2493.01, 172834, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1725840000, 2496.72, 2507.2, 2485.5, 2506.34, 166250, 17, 0)"
"(1725926400, 2506.38, 2518.44, 2500.06, 2516.6, 151689, 17, 0)"
"(1724716800, 2518.13, 2525.89, 2503.45, 2524.65, 170625, 17, 0)"
"(1724803200, 2524.75, 2529., 2493.59, 2504.54, 162696, 17, 0)"
"(1724889600, 2504.25, 2528.63, 2503.54, 2521.1, 159746, 17, 0)"
"(1724976000, 2520.61, 2526.87, 2494.1, 2503.21, 165664, 17, 0)"
"(1725235200, 2502.42, 2507.23, 2489.96, 2498.99, 100895, 17, 0)"
"(1725321600, 2499.57, 2506.2, 2473.13, 2493.01, 172834, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1725840000, 2496.72, 2507.2, 2485.5, 2506.34, 166250, 17, 0)"
"(1724630400, 2511.33, 2526.84, 2508.65, 2517.9, 169404, 17, 0)"
"(1724716800, 2518.13, 2525.89, 2503.45, 2524.65, 170625, 17, 0)"
"(1724803200, 2524.75, 2529., 2493.59, 2504.54, 162696, 17, 0)"
"(1724889600, 2504.25, 2528.63, 2503.54, 2521.1, 159746, 17, 0)"
"(1724976000, 2520.61, 2526.87, 2494.1, 2503.21, 165664, 17, 0)"
"(1725235200, 2502.42, 2507.23, 2489.96, 2498.99, 100895, 17, 0)"
"(1725321600, 2499.57, 2506.2, 2473.13, 2493.01, 172834, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1725580800, 2516.46, 2529.13, 2485.04, 2497.27, 187853, 17, 0)"
"(1724371200, 2485.03, 2518.27, 2484.3, 2512.36, 176563, 17, 0)"
"(1724630400, 2511.33, 2526.84, 2508.65, 2517.9, 169404, 17, 0)"
"(1724716800, 2518.13, 2525.89, 2503.45, 2524.65, 170625, 17, 0)"
"(1724803200, 2524.75, 2529., 2493.59, 2504.54, 162696, 17, 0)"
"(1724889600, 2504.25, 2528.63, 2503.54, 2521.1, 159746, 17, 0)"
"(1724976000, 2520.61, 2526.87, 2494.1, 2503.21, 165664, 17, 0)"
"(1725235200, 2502.42, 2507.23, 2489.96, 2498.99, 100895, 17, 0)"
"(1725321600, 2499.57, 2506.2, 2473.13, 2493.01, 172834, 17, 0)"
"(1725408000, 2492.71, 2500.2, 2471.85, 2495.55, 156368, 17, 0)"
"(1725494400, 2494.46, 2523.45, 2493.77, 2516.61, 163888, 17, 0)"
"(1724284800, 2511.45, 2514.63, 2470.77, 2484.6, 174870, 17, 0)"
"(1724371200, 2485.03, 2518.27, 2484.3, 2512.36, 176563, 17, 0)"
"(1724630400, 2511.33, 2526.84, 2508.65, 2517.9, 169404, 17, 0)"
"(1724716800, 2518.13, 2525.89, 2503.45, 2524.65, 170625, 17, 0)"
"(1724803200, 2524.75, 2529., 2493.59, 2504.54, 162696, 17, 0)"
"(1724889600, 2504.25, 2528.63, 2503.54, 2521.1, 159746, 17, 0)"
"(1724976000, 2520.61, 2526.87, 2494.1, 2503.21, 165664, 17, 0)"
